Group: 1
OTUID	class	order	family	genus 
New.0.ReferenceOTU411	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Unknown	
2752360	c__Gammaproteobacteria	o__Alteromonadales	f__Idiomarinaceae	Unknown	
New.0.ReferenceOTU100	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	Unknown	
New.0.ReferenceOTU384	c__Synechococcophycideae	o__Pseudanabaenales	f__Pseudanabaenaceae	Unknown	
New.0.ReferenceOTU428	c__Gammaproteobacteria	o__Alteromonadales	f__OM60	Unknown	
548576	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	
823476	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Alteromonas	
830290	c__Gammaproteobacteria	o__Vibrionales	f__Pseudoalteromonadaceae	g__Pseudoalteromonas	
509913	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Marinobacter	
829814	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Loktanella	
4342113	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Gramella	
543151	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Unknown	
987760	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Octadecabacter	
1104529	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	Unknown	
740871	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	
Group: 7
OTUID	class	order	family	genus 
593489	c__Gammaproteobacteria	o__Cardiobacteriales	Unknown	Unknown	
1051517	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Anoxybacillus	
New.0.CleanUp.ReferenceOTU139618	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	Unknown	
New.0.CleanUp.ReferenceOTU14180	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Arcobacter	
589754	c__Gammaproteobacteria	o__Cardiobacteriales	Unknown	Unknown	
592832	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	
592628	c__Gammaproteobacteria	o__Cardiobacteriales	Unknown	Unknown	
New.0.ReferenceOTU782	c__Clostridia	o__Clostridiales	Unknown	Unknown	
591748	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	Unknown	
New.0.ReferenceOTU111	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	
New.0.ReferenceOTU739	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	Unknown	
New.0.ReferenceOTU168	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Paludibacter	
New.0.ReferenceOTU41	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	Unknown	
New.1.ReferenceOTU264	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	
833645	c__Bacilli	o__Bacillales	Unknown	Unknown	
New.0.ReferenceOTU103	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	
566062	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Helcococcus	
New.0.ReferenceOTU453	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	
571320	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Unknown	
New.0.ReferenceOTU246	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	Unknown	
593997	c__Flavobacteriia	o__Flavobacteriales	f__[Weeksellaceae]	g__Ornithobacterium	
New.0.ReferenceOTU325	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasma	
New.0.ReferenceOTU584	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Helcococcus	
New.0.CleanUp.ReferenceOTU20164	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	Unknown	
706432	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	
Group: 8
OTUID	class	order	family	genus 
538602	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Aliivibrio	
New.0.ReferenceOTU176	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	
New.0.ReferenceOTU827	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__1-68	
New.0.ReferenceOTU43	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	
739614	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Photobacterium	
1107011	c__[Spartobacteria]	o__[Chthoniobacterales]	f__[Chthoniobacteraceae]	g__DA101	
1044436	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	Unknown	
588659	c__Gammaproteobacteria	o__Oceanospirillales	f__Oceanospirillaceae	Unknown	
889025	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	
Group: 9
OTUID	class	order	family	genus 
814282	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	Unknown	
711803	c__Actinobacteria	o__Actinomycetales	f__Mycobacteriaceae	g__Mycobacterium	
573035	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__Alicyclobacillus	
New.0.ReferenceOTU445	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Unknown	
674655	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingopyxis	
992510	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	Unknown	
563240	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	Unknown	
580625	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	Unknown	
544847	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	Unknown	
1106324	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Unknown	
1106617	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Unknown	
1049387	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Pseudoxanthomonas	
544841	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	
541299	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	Unknown	
1111944	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	
1108275	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Unknown	
697479	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Tepidimonas	
813418	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	
942852	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Unknown	
1062748	c__Actinobacteria	o__Actinomycetales	f__Mycobacteriaceae	g__Mycobacterium	
248395	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	Unknown	
1108726	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Limnohabitans	
